"date","IP","INFL","UNEMP"
"1955-11-01",13.244947703061971,0.3727175391921911,4.2
"1955-12-01",12.331216128380973,0.3728565095138414,4.2
"1956-01-01",10.703540215686047,0.2238806905271229,4.0
"1956-02-01",8.574886264330628,0.1490313241558905,3.9
"1956-03-01",6.260309808468811,0.3725786724256164,4.2
"1956-04-01",5.811672500294485,0.5212223266990001,4.0
"1956-05-01",3.3468239064306182,0.9665502756095012,4.3
"1956-06-01",2.325895888824059,1.6339019258075016,4.3
"1956-07-01",-1.5688026962992652,1.9612099460219135,4.4
"1956-08-01",2.564478349569166,2.1840586817168717,4.1
"1956-09-01",4.169606357012912,1.8450707913116648,3.9
"1956-10-01",3.3690836824772585,2.5401697082950925,3.9
"1956-11-01",2.2526702665937925,2.316705928153473,4.3
"1956-12-01",3.348198253798973,2.7891716307925307,4.2
"1957-01-01",2.3530393133847305,3.0828129361302192,4.2
"1957-02-01",4.208924029679961,3.4397829601500174,3.9
"1957-03-01",4.087410476818132,3.5437498070886253,3.7
"1957-04-01",1.9878242025701098,3.646047313357803,3.9
"1957-05-01",2.4999121432237814,3.525714988684747,4.1
"1957-06-01",3.6364216831330065,3.474833853849635,4.3
"1957-07-01",7.36394639933291,3.2446970405774156,4.2
"1957-08-01",3.3606953251139604,3.4901905542758627,4.1
"1957-09-01",0.24768362249800724,3.485173995752877,4.4
"1957-10-01",-2.1079191190905178,2.9018693889035774,4.5
"1957-11-01",-3.654758476471942,3.219162092961314,5.1
"1957-12-01",-7.073858439061054,2.9948762354621294,5.2
"1958-01-01",-8.55667525724284,3.445554829360997,5.8
"1958-02-01",-11.687806851754123,3.186110206898407,6.4
"1958-03-01",-12.799898885582817,3.561102532318383,6.7
"1958-04-01",-13.125230637453944,3.552334124625256,7.4
"1958-05-01",-11.777972256054392,3.3020211028134128,7.4
"1958-06-01",-9.419945565396715,2.8062171109814127,7.3
"1958-07-01",-8.55667525724284,2.4528209352122854,7.5
"1958-08-01",-6.5764686553558604,2.3069880174965807,7.4
"1958-09-01",-4.805404643507849,2.061928720273576,7.1
"1958-10-01",-2.1533108878965646,2.061928720273576,6.7
"1958-11-01",3.158878318122893,1.882900815290789,6.2
"1958-12-01",5.2277036508797,1.7409910491312797,6.2
"1959-01-01",8.55667525724284,1.2836256040868133,6.0
"1959-02-01",12.652488275236928,1.039870722089864,5.9
"1959-03-01",15.316523533288962,0.34578181064155444,5.6
"1959-04-01",19.0932822905308,0.13812156891983562,5.2
"1959-05-01",19.61144704630131,0.34494687532573565,5.1
"1959-06-01",17.120684648253935,0.6894201729277238,5.0
"1959-07-01",13.219585428111902,0.8959398318357348,5.1
"1959-08-01",7.7927045697048225,0.8258821891301782,5.2
"1959-09-01",6.761195176559065,1.1692017649610698,5.5
"1959-10-01",4.87268940879777,1.5104990245850658,5.7
"1959-11-01",2.578421425573696,1.372234225510116,5.8
"1959-12-01",8.452507189021619,1.5073940784644524,5.3
"1960-01-01",9.564416857879898,1.2333147077215667,5.2
"1960-02-01",6.7312781188885396,1.4038922579429514,4.8
"1960-03-01",4.398843897079319,1.5073940784644524,5.4
"1960-04-01",1.4954826596647486,1.9139340210697409,5.2
"1960-05-01",-0.11443519313223405,1.8086143907790397,5.1
"1960-06-01",-1.4933534126623016,1.7030384355968042,5.4
"1960-07-01",0.5826740224307514,1.3628831055605861,5.5
"1960-08-01",3.9129183399806866,1.4628599018860378,5.6
"1960-09-01",2.981792517201365,1.2232568435634583,5.5
"1960-10-01",3.5935243412502427,1.3536585717533356,6.1
"1960-11-01",1.5633958512772939,1.4544480981757424,6.1
"1960-12-01",-6.362724625329408,1.3509155124076244,6.6
"1961-01-01",-8.832640821560789,1.5876030125031804,6.6
"1961-02-01",-8.060508768048491,1.451502276965666,6.9
"1961-03-01",-6.551802620909042,1.451502276965666,6.9
"1961-04-01",-3.7212763927296777,0.9098630586746204,7.0
"1961-05-01",-2.0783725083289184,0.9089441471174631,7.1
"1961-06-01",0.5772939452743042,0.7737633222060225,6.9
"1961-07-01",2.068815224745979,1.2443409254169424,7.0
"1961-08-01",3.091336233335884,1.1083236877982294,6.6
"1961-09-01",4.030637385254643,1.241835056095164,6.7
